Epoch,Exe Time,Precision@10 (Train),Precision@10 (Test),Recall@10 (Train),Recall@10 (Test)
152,6.401884317,0.36961326,0.119791679,0.362226574,0.099468658
153,6.36699295,0.368950278,0.108333342,0.360370873,0.091445718
154,6.426822901,0.36773482,0.103125006,0.358760877,0.088584003
155,7.362362862,0.36961326,0.111458339,0.358979106,0.095347985
156,7.143913984,0.368950307,0.115625001,0.358975727,0.091139678
157,6.757902861,0.36961326,0.119791664,0.362820421,0.101106481
158,6.789889812,0.369281769,0.123958349,0.364685776,0.105808847
159,6.731003284,0.379337013,0.116666675,0.370733583,0.098027171
160,6.576397657,0.372707188,0.117708348,0.365468642,0.096764611
161,6.733006716,0.371712744,0.12187501,0.366359219,0.103254314
162,6.71305871,0.37491715,0.123958342,0.367955302,0.109017093
163,6.775848389,0.363425434,0.129166678,0.354114448,0.104079105
164,7.178842545,0.368950307,0.118750006,0.361808465,0.095664155
165,7.003247023,0.371602207,0.114583343,0.360565107,0.087904847
166,6.950424671,0.361104995,0.123958342,0.351469988,0.102835808
167,6.951426029,0.371160239,0.120833337,0.364373096,0.100217079
168,6.995294571,0.371160209,0.120833337,0.362906694,0.098827688
169,7.085064411,0.377679557,0.120833337,0.371450633,0.104601897
170,7.039183378,0.371712744,0.114583336,0.362382681,0.094529557
171,7.100024939,0.371712744,0.104166664,0.366749509,0.084623697
172,7.112982512,0.368287265,0.12187501,0.363240264,0.099798917
173,7.1718328,0.366850823,0.118750013,0.361565595,0.096583765
174,7.278548002,0.376243085,0.101041675,0.367751124,0.090139827
175,7.187790871,0.374806643,0.110416673,0.365684248,0.096063535
176,7.304477215,0.363314897,0.107291669,0.350276822,0.088077947
177,7.325423002,0.372817695,0.128125012,0.367294479,0.109238448
178,7.354346275,0.377016574,0.11354167,0.37076951,0.098410518
179,7.423197985,0.375911623,0.123958349,0.369971775,0.109625836
180,7.401194096,0.372817695,0.10625001,0.366087712,0.091293464
181,7.490011692,0.380110502,0.122916676,0.370526128,0.107786543
182,7.573747396,0.37414366,0.109375007,0.367268435,0.099315047
183,7.711365223,0.37226519,0.126041666,0.367128107,0.099897608
184,7.621631622,0.376906127,0.135416672,0.369565483,0.110462947
185,7.676490307,0.38209942,0.118750013,0.373694488,0.098999055
186,7.652514935,0.371270716,0.140625015,0.365792313,0.117492255
187,7.815139771,0.379116058,0.103125006,0.371552518,0.080717012
188,7.809173584,0.37679559,0.105208337,0.364200561,0.0827685
189,7.82309413,0.370718241,0.104166664,0.363760453,0.08879129
190,7.892923355,0.370939255,0.116666675,0.366419194,0.09872216
191,8.750646591,0.36961326,0.122916676,0.364255985,0.105568111
192,8.467411041,0.372707158,0.112500004,0.366127742,0.089063145
193,8.38957572,0.372707188,0.107291676,0.365783919,0.085906067
194,8.334760189,0.374585629,0.10625001,0.369810852,0.083991744
195,8.244939089,0.3733702,0.101041675,0.368030294,0.083018166
196,8.217039347,0.375359118,0.10625001,0.368288633,0.083955807
197,8.6668365,0.380662978,0.105208337,0.375145869,0.087336112
198,9.732942104,0.375359118,0.097916685,0.364788632,0.083789927
199,8.558173895,0.381988972,0.12187501,0.372406678,0.097648104
